Method,Size_KB,Latency_ms,PSNR,SSIM,NCE,LPIPS
NGP_L2_F1_LR1e-03_E300,2932.4,12.04,17.59181764100833,0.7294383468564728,0.8369457404769689,0.4214441180229187
NGP_L2_F1_LR1e-03_E600,3078.78,11.55,25.14424508914056,0.9448932522734496,0.9716464428421658,0.1494792103767395
NGP_L2_F1_LR1e-03_E900,2937.05,6.48,30.23631377031927,0.9649426245363381,0.9910954323597854,0.08773518353700638
NGP_L2_F1_LR3e-03_E300,2908.97,12.33,28.10601333367073,0.9412967081203316,0.9856042252456678,0.12112629413604736
NGP_L2_F1_LR3e-03_E600,3037.89,11.98,32.354044147623476,0.9735654470501581,0.9945367149574863,0.07662157714366913
NGP_L2_F1_LR3e-03_E900,2949.01,13.46,34.98959764167492,0.9809395321772,0.9970368811805974,0.05906172841787338
NGP_L2_F1_LR1e-02_E300,2934.07,13.17,34.2585793085735,0.9748586471694778,0.9964900012849524,0.08432143926620483
NGP_L2_F1_LR1e-02_E600,2986.27,9.66,35.963228918155245,0.9821848641422983,0.997643093421247,0.0573853999376297
NGP_L2_F1_LR1e-02_E900,3031.51,13.45,33.987224369414704,0.9744882559067363,0.9962617759207798,0.08367855101823807
NGP_L2_F2_LR1e-03_E300,6167.06,12.09,17.69335130396386,0.7638251039696556,0.8489050014008555,0.42379963397979736
NGP_L2_F2_LR1e-03_E600,6260.3,13.64,29.007282247910858,0.953036696141044,0.9883549912937433,0.11143001914024353
NGP_L2_F2_LR1e-03_E900,6436.65,21.15,35.82833239388744,0.9783170322242656,0.9976156440129728,0.04565588757395744
NGP_L2_F2_LR3e-03_E300,6226.65,13.64,32.87981543093767,0.967397504402999,0.9951820901135966,0.0779564157128334
NGP_L2_F2_LR3e-03_E600,6203.64,14.57,43.060519842678396,0.9916128972861201,0.9995735648014286,0.019266396760940552
NGP_L2_F2_LR3e-03_E900,6411.37,13.1,44.40801978513413,0.9951304043192438,0.9996988908516882,0.015557000413537025
NGP_L2_F2_LR1e-02_E300,6110.93,17.72,42.87160792785687,0.9925566526367785,0.9995561323369923,0.021886644884943962
NGP_L2_F2_LR1e-02_E600,6320.55,18.93,44.51860012571742,0.9950894139781726,0.999704438813918,0.016583215445280075
NGP_L2_F2_LR1e-02_E900,6279.78,16.89,45.11266960234069,0.9954980537530149,0.999745677662698,0.014911405742168427
NGP_L2_F4_LR1e-03_E300,12424.08,18.16,19.51957487992425,0.8380711667702601,0.8999907713209075,0.33535099029541016
NGP_L2_F4_LR1e-03_E600,12522.08,14.63,31.26095306827033,0.9651373346450415,0.9930566799250099,0.0807204395532608
NGP_L2_F4_LR1e-03_E900,12872.48,15.46,35.935118775063934,0.9787603532860883,0.9976553098359944,0.054412417113780975
NGP_L2_F4_LR3e-03_E300,12802.67,14.17,34.159899050320696,0.9711821096604109,0.9964446172595219,0.07235867530107498
NGP_L2_F4_LR3e-03_E600,12918.35,14.75,43.25037336348723,0.9931055208207388,0.9995932043254586,0.018703484907746315
NGP_L2_F4_LR3e-03_E900,12849.26,20.0,45.07916118844791,0.9952213417030734,0.9997470091810895,0.014879385009407997
NGP_L2_F4_LR1e-02_E300,12695.17,13.04,43.32151965279097,0.9928008047757616,0.9996013838059515,0.02037719450891018
NGP_L2_F4_LR1e-02_E600,12714.52,14.71,47.37965370978364,0.9961718920404233,0.9998652410105918,0.00963988620787859
NGP_L2_F4_LR1e-02_E900,12623.19,16.08,48.46696774346964,0.9967750932373408,0.9999033846208037,0.0070517053827643394
NGP_L3_F1_LR1e-03_E300,2963.1,19.1,17.173721826317994,0.7237093980204258,0.8321577256069012,0.48969703912734985
NGP_L3_F1_LR1e-03_E600,3273.28,19.08,31.15003138678647,0.955832958244819,0.9929559802052422,0.10708020627498627
NGP_L3_F1_LR1e-03_E900,3238.7,18.15,36.26173751370506,0.9752133454117725,0.9978172461690403,0.057036902755498886
